disease,icd,count
chemotherapy induced nausea and vomiting,"['D61.810', 'Z51.11', 'D64.81', 'D70.1', 'Z92.21', 'P04.11', 'T80.810S']",1
gouty arthritis,"['A01.04', 'A02.23', 'A39.83', 'A39.84', 'A54.42', 'B06.82', 'B26.85']",1
trigeminal neuralgia,"['G50.0', 'B02.22']",1
chronic rhinitis,['J31.0'],1
treatment outcome,"['Z01.12', 'Z92.89', 'Z75.2', 'M27.59', 'Z53.9', 'M27.51', 'R97.21']",1
plexiform neurofibroma associated with neurofibromatosis type 1,"['Q85.00', 'Q85.09', 'Q85.01', 'Q85.02']",1
diabetic ketoacidosis,"['E10.10', 'E10.11', 'E11.10', 'E11.11', 'E13.10', 'E13.11', 'E08.10']",1
antimicrobial effectiveness,"['Z16.30', 'Z16.35', 'Z16.39']",1
cardiopulmonary bypass induced lipid peroxidation,"['Q93.81', 'B33.4', 'A36.81', 'A50.54', 'A52.00', 'A52.09', 'B33.24']",1
impaired cognition,"['H53.72', 'R73.01', 'R73.02', 'E20.819', 'N25.89', 'N25.9', 'E20.818']",1
muscular atrophy,"['G12.9', 'G12.1', 'G12.0']",1
methamphetamine or cocaine dependence,"['T43.651A', 'T43.651D', 'T43.651S', 'T43.652A', 'T43.652D', 'T43.652S', 'T43.653A']",1
advanced clear cell renal carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
congenital cytomegalovirus infection,['P35.1'],1
maternal cytomegalovirus infection,['P35.1'],1
lambert eaton myasthenic syndrome,['G73.3'],1
extreme prematurity,"['P61.2', 'H35.103', 'H35.101', 'H35.102', 'H35.109', 'H35.113', 'H35.123']",1
duration of hospitalization,"['S06.0X9S', 'S06.0X9A', 'S06.0X9D', 'S06.4X9S', 'S06.1X9S', 'S06.4X9A', 'S06.4X9D']",1
"nondependent opioid abuse, episodic","['G44.011', 'G44.031', 'F41.0', 'G44.019', 'G44.039', 'G44.211', 'G44.219']",1
adenosine deaminase deficiency,"['D81.30', 'D81.32', 'D81.39', 'D81.31']",1
severe combined immunodeficiencies (scid),"['D84.89', 'D81.89', 'D83.8', 'D80.8']",1
metastatic er+ her2- breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
female sexual arousal disorder,['F52.22'],1
other cancers,"['C96.29', 'C72.59', 'D17.79', 'D23.9', 'D26.0', 'D26.1', 'D26.9']",1
age-associated cognitive impairment,"['Z73.82', 'M10.38', 'M10.30', 'M10.311', 'M10.312', 'M10.319', 'M10.321']",1
philadelphia chromosome positive adult precursor acute lymphoblastic leukemia,"['C83.57', 'C83.50', 'C91.01', 'C91.02', 'C83.52', 'C83.56', 'C83.53']",1
antiretroviral treatment outcomes,"['Z01.12', 'Z92.89', 'Z75.2', 'M27.59', 'Z53.9', 'M27.51', 'R97.21']",1
"epilepsy, partial seizures","['G40.111', 'G40.119', 'G40.211', 'G40.219', 'G40.101', 'G40.109', 'G40.201']",1
persistent pulmonary hypertension of the newborn,"['I15.0', 'I1A.0', 'I97.3', 'K76.6', 'P29.2', 'G93.2', 'H40.053']",1
human immunodeficiency virus 1,"['D84.9', 'D81.9', 'D83.9', 'D84.821', 'B20', 'D82.2', 'D84.822']",1
acute urinary tract infection,"['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",1
post-stroke spasticity of the upper limb,None,1
pneumococcal vaccines,"['G00.1', 'M00.19', 'M00.18', 'M00.10', 'M00.111', 'M00.112', 'M00.119']",1
primary myelofibrosis (mf),"['D75.81', 'C94.41', 'C94.42', 'C94.40']",1
post-polycythemia vera (pv) mf,None,1
post-essential thrombocythemia (et) mf,['D47.3'],1
high hba1c level,None,1
graft vs. host disease,None,1
seizure disorder generalized tonic clonic,"['A21.7', 'I70.91', 'R60.1', 'R61', 'F40.11', 'F41.1', 'K65.0']",1
levodopa induced dyskinesia,"['K22.4', 'G24.01', 'G20.A2', 'G20.B2', 'G20.A1', 'G20.B1']",1
gastric or duodenal ulcers caused by low-dose aspirin,"['K26.0', 'K26.1', 'K26.3', 'K26.4', 'K26.5', 'K26.7', 'K26.2']",1
chronic inflammatory disorder,['H05.10'],1
transversus abdominis plane (tap) block catheter,"['T82.524S', 'T82.534S', 'T83.020S', 'T83.022S', 'T83.030S', 'T83.032S', 'T82.42XS']",1
diep or free ms-tram breast reconstruction,['Z42.1'],1
local pain management,"['Z30.8', 'Z30.9', 'Z31.89', 'Z31.9', 'Z45.42', 'Z73.89', 'Z73.9']",1
abdominal/ donor site,"['A42.1', 'G43.D1', 'I77.811', 'R10.815', 'R10.816', 'R10.817', 'R10.84']",1
juvenile neuronal ceroid lipofuscinosis,['E75.4'],1
antibody mediated rejection,"['T86.11', 'T86.21', 'T86.41', 'T86.810', 'T86.830', 'T86.850', 'T86.01']",1
marijuana dependence,"['F10.20', 'F11.20', 'F12.20', 'F14.20', 'F16.20', 'F18.20', 'Z99.0']",1
relapsed adult acute lymphocytic leukemia,"['A87.2', 'K52.832', 'D72.111', 'C91.11', 'C91.12', 'C91.10']",1
verapamil toxicity,None,1
methemoglobinemia,"['D74.0', 'D74.9', 'D74.8']",1
uterine cervical dysplasia,"['Q61.4', 'Q77.5', 'Q77.6', 'Q77.7', 'Q78.5', 'I77.3', 'K62.82']",1
"telangiectasia, hereditary hemorrhagic",['I78.0'],1
inpatient,None,1
alzheimer's dementia,"['G30.8', 'G30.9', 'G30.0', 'G30.1']",1
knee replacement surgery,"['Z79.890', 'Z96.693', 'Z47.1', 'Z95.4', 'Z96.691', 'Z96.692', 'T82.320S']",1
human gut microbiota,None,1
dialysis,"['Z99.2', 'R88.0', 'H33.043', 'T82.42XS', 'T82.43XS', 'T85.621S', 'T85.631S']",1
post-operative hemorrhage,"['K94.01', 'K94.11', 'K94.21', 'K94.31', 'N99.510', 'H11.33', 'H35.63']",1
non-operable chronic thromboembolic pulmonary hypertension,['I27.24'],1
malignant peripheral nerve sheath tumor,"['A18.2', 'H11.043', 'H11.053', 'H18.463', 'H35.40', 'H81.393', 'I73.9']",1
malignant fibrous,"['R18.0', 'C17.3', 'G21.0', 'J91.0', 'C05.2', 'C10.0', 'C16.0']",1
histiocytoma/undifferentiated pleomorphic sarcoma,None,1
vasomotor disturbance,"['F01.A0', 'F01.B0', 'F01.C0', 'F03.A0', 'F03.B0', 'F03.C0', 'F01.50']",1
ejaculatory dysfunction,['N53.19'],1
endocrine disease,"['P09.2', 'Z86.39', 'E35', 'O99.280', 'O99.281', 'O99.282', 'O99.283']",1
noncutaneous extranodal lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
prolymphocytic leukemia,"['C91.31', 'C91.32', 'C91.61', 'C91.62', 'C91.30', 'C91.60']",1
t-cell large granular lymphocyte leukemia,"['C81.37', 'C81.47', 'C81.07', 'C81.30', 'C81.40', 'C81.00', 'C81.32']",1
major depressive disorder with mixed features,"['F25.1', 'F32.89', 'F33.8', 'F33.0', 'F33.1', 'F33.9', 'F32.0']",1
growth hormone secretion abnormality,"['H21.563', 'Q99.9', 'R77.0', 'R77.1', 'R77.2', 'H21.561', 'H21.562']",1
clostridium botulinum toxin adverse reaction,"['A05.2', 'A04.71', 'A04.72', 'B96.7']",1
multidrug-resistant tuberculosis,"['A18.39', 'P37.0', 'Z22.7', 'A15.0', 'A15.7', 'A15.8', 'A15.9']",1
chronic hepatitis c genotype 1,"['B00.81', 'B25.1', 'B26.81', 'B58.1', 'K75.4', 'A51.45', 'B17.2']",1
epithelial cancer,"['H18.523', 'H18.521', 'H18.522', 'H18.529']",1
break through pain,None,1
swelling,"['R19.05', 'R19.06', 'R22.0', 'R22.1', 'R22.2', 'R22.9', 'R19.01']",1
nephropathic cystinosis,['E72.04'],1
"dementia, alzheimer type","['G30.8', 'G30.9', 'G30.0', 'G30.1']",1
tremors,None,1
chronic thrombocytopenia,"['D69.6', 'D69.49', 'D69.59', 'P61.0', 'D75.829', 'D69.42', 'D75.821']",1
estrogen receptor positive tumor,"['E28.0', 'Z79.818', 'Z17.0', 'Z17.1', 'Z92.23', 'Z79.810', 'T38.5X1A']",1
cancer survivor,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",1
respiratory disorders,"['J98.9', 'Z13.83', 'J95.89', 'J98.8', 'J99']",1
chronic obstructive lung diseases,"['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",1
chronic obstructive airway disease,"['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",1
laryngospasm,None,1
"hormone-sensitive, her-2 negative metastatic breast cancer","['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
stage iia adult soft tissue sarcoma,None,1
post-operative pneumonia,"['A01.03', 'A02.22', 'A54.84', 'B01.2', 'B06.81', 'B77.81', 'J12.0']",1
chronic lymphocytic leukaemia,"['A87.2', 'K52.832', 'D72.111', 'C91.11', 'C91.12', 'C91.10']",1
fuchs' dystrophy,"['H35.51', 'L60.3', 'G71.00', 'G71.02', 'G71.11', 'H35.52', 'H18.513']",1
bullous keratopathy,"['H18.13', 'H18.10', 'H18.11', 'H18.12', 'H59.013', 'H59.011', 'H59.012']",1
herpes simplex type ii,None,1
human immunodeficiency virus (hiv) infections,['Z21'],1
acquired immunodeficiency syndrome (aids) virus,"['D84.9', 'D81.9', 'D83.9', 'D84.821', 'B20', 'D82.2', 'D84.822']",1
hiv associated neurocognitive disorders (hand),"['B20', 'Z71.7', 'Z29.81', 'O98.72', 'Z21', 'O98.73', 'R75']",1
shoulder injury,"['S40.911S', 'S40.912S', 'S40.919S', 'S40.911A', 'S40.911D', 'S40.912A', 'S40.912D']",1
par,"['A01.1', 'A01.2', 'A01.3', 'A01.4', 'A05.3', 'A37.10', 'A37.11']",1
pelvis pain chronic,None,1
mental and behavioral disorders,"['Z13.30', 'Z13.39', 'Z81.8', 'Z86.59']",1
withdrawal state,"['F11.13', 'F11.23', 'F12.13', 'F12.23', 'F14.23', 'F10.130', 'F10.131']",1
allergic rhinoconjunctivitis,"['D69.0', 'L50.0', 'B44.81', 'J30.89', 'J30.9', 'L20.84', 'H10.45']",1
painful diabetic peripheral neuropathy,"['A18.2', 'H11.043', 'H11.053', 'H18.463', 'H35.40', 'H81.393', 'I73.9']",1
postherpetic neuralgia ( phn ),"['B02.23', 'B02.24', 'B02.21', 'B02.22', 'B02.29']",1
gastro-oesophageal junction cancer,"['C19', 'D12.7', 'Z85.048']",1
nonconvulsive seizures,"['G40.89', 'R56.1', 'F44.5', 'G40.501', 'G40.509', 'G40.111', 'G40.119']",1
"leukemia, pediatric","['R63.31', 'R63.32', 'G47.33', 'Z71.87', 'Z68.51', 'Z68.54', 'Z68.52']",1
"infections, papillomavirus","['Z11.51', 'B97.7', 'R85.81', 'R85.82', 'R87.810', 'R87.811', 'R87.820']",1
stage iii breast cancer ajcc v7,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
post-stroke spasticity of the lower limb,None,1
refractory acute myelogenous leukemia,"['D46.4', 'I20.2', 'D46.1', 'D46.A', 'D46.0', 'D46.20', 'D46.21']",1
mature t-cell and nk-cell non-hodgkin lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
recurrent adult non-hodgkin lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
acute depressive episode,"['F25.1', 'F32.89', 'F33.8', 'F33.0', 'F33.1', 'F33.9', 'F32.0']",1
"carcinoma, non small cell lung","['D02.20', 'D02.21', 'D02.22']",1
complication of transplanted lung,"['B01.9', 'B05.9', 'B06.9', 'B26.9', 'J95.00', 'J95.09', 'K94.00']",1
"sarcoma, synovial","['M67.20', 'M67.211', 'M67.212', 'M67.219', 'M67.231', 'M67.232', 'M67.239']",1
post-micturition incontinence,"['N39.41', 'N39.46', 'N39.490', 'N39.491', 'N39.492', 'R32', 'R39.81']",1
incontinence,"['N39.41', 'N39.46', 'N39.490', 'N39.491', 'N39.492', 'R32', 'R39.81']",1
hypoxic ischemic encephalopathy,"['P91.60', 'P91.61', 'P91.62', 'P91.63']",1
chronic foot ulcers,None,1
chronic obstructive pulmonary disease with (acute) exacerbation,['J44.1'],1
ulcers,['A66.4'],1
adult anaplastic ependymoma,"['C84.67', 'C84.77', 'C84.7A', 'C84.60', 'C84.70', 'C84.62', 'C84.66']",1
high-risk cancer,"['Z72.51', 'Z72.52', 'Z72.53', 'Z91.843', 'H40.023', 'O09.891', 'O09.892']",1
"surgical procedures, elective","['O75.4', 'T81.89XS', 'T81.89XA', 'T81.89XD', 'P00.7', 'Z41.8', 'O35.7XX1']",1
congenital bleeding disorder,"['Q76.3', 'D70.0', 'D74.0', 'H55.01', 'P37.0', 'P37.1', 'P83.5']",1
haemophilia a,None,1
relapsed peripheral t-cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
refractory peripheral t-cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
vasopressor,None,1
rsv bronchiolitis,"['J44.81', 'J21.9', 'J84.115', 'J21.1', 'J21.0', 'J21.8']",1
abdominal obesity,"['A42.1', 'G43.D1', 'I77.811', 'R10.815', 'R10.816', 'R10.817', 'R10.84']",1
esophagogastroduodenoscopy,None,1
premedication,None,1
keratoconjunctival epithelial disorder,"['H18.523', 'H18.521', 'H18.522', 'H18.529']",1
papulopustular rosacea (ppr),None,1
malignant tumor of peritoneum,"['C48.2', 'C48.1', 'C78.6', 'C48.8']",1
stage iv ovarian germ cell tumor,None,1
dentinal sensitivity,"['H53.71', 'H53.72', 'K90.41']",1
hepatitis d,"['B16.0', 'B16.1', 'B16.2', 'B16.9', 'B17.0', 'B18.0', 'B18.1']",1
"sarcoma, kaposi","['C46.9', 'C46.0', 'C46.2', 'C46.1', 'C46.3', 'C46.4', 'C46.50']",1
her2 positive metastatic breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
irreversible pulpitis,['K04.02'],1
"tumors, breast",None,1
endocrine breast diseases,"['E34.9', 'E34.8', 'A18.82', 'C25.4', 'D13.7', 'I15.2', 'P72.9']",1
superficial vein thrombosis,"['N48.81', 'I82.611', 'I82.612', 'I82.613', 'I82.619', 'I82.711', 'I82.712']",1
hiv/aids-associated fatigue,"['B20', 'Z71.7', 'Z29.81', 'O98.72', 'Z21', 'O98.73', 'R75']",1
pyelonephritis,"['A02.25', 'D86.84', 'N10', 'N11.1', 'N11.0']",1
intra-abdominal infections,"['D18.03', 'C83.73', 'C84.03', 'C84.13', 'C81.73', 'C81.93', 'C82.93']",1
smoking dependence,"['F10.20', 'F11.20', 'F12.20', 'F14.20', 'F16.20', 'F18.20', 'Z99.0']",1
kras wild type colorectal cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",1
muscle pain,None,1
malignant tumors,"['C7A.00', 'C7A.010', 'C7A.011', 'C7A.012', 'C7A.020', 'C7A.021', 'C7A.026']",1
tophaceous gout,['E79.0'],1
eaton-lambert myasthenic syndrome,"['G70.80', 'G73.1', 'G70.81']",1
familial chylomicronemia syndrome (fcs),"['D75.0', 'E78.01', 'E83.31', 'A81.83', 'D13.91', 'M11.18', 'G12.24']",1
motor fluctuations,"['G20.A2', 'G20.B2', 'G20.A1', 'G20.B1']",1
meconium ileus,['E84.11'],1
very low birth weight infant,None,1
symptomatic orthostatic hypotension,"['D72.820', 'D72.821', 'A52.10', 'A52.19', 'E28.310', 'A52.79', 'E89.41']",1
laryngeal stenosis,"['A36.2', 'J38.5', 'Q31.2', 'C32.3']",1
subglottic stenosis,"['J95.5', 'Q31.1']",1
tracheal stenosis,"['I05.0', 'I06.0', 'I07.0', 'J38.6', 'J95.5', 'Q22.4', 'Q23.2']",1
"hypercholesterolemia, familial","['E78.01', 'Z83.42']",1
advanced net of gi origin,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",1
advanced net of lung origin,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",1
organ or tissue transplant; complications,"['A36.89', 'B01.89', 'B02.9', 'B05.89', 'B06.89', 'B26.89', 'K94.30']",1
osteonecrosis of the femoral head,"['M87.9', 'M87.850', 'M87.350', 'M87.80', 'M87.811', 'M87.812', 'M87.819']",1
egfr exon 19 deletion mutation,"['Q93.9', 'Q93.3', 'Q93.4', 'Q93.59', 'Q93.7', 'Q93.89']",1
egfr np_005219.2:p.l858r,None,1
cll,None,1
adult alveolar soft part sarcoma,"['J84.09', 'J84.01', 'J84.02', 'M26.70', 'M26.71', 'M26.72', 'M26.73']",1
adult desmoplastic small round cell tumor,None,1
adult epithelioid hemangioendothelioma,None,1
adult extraskeletal myxoid chondrosarcoma,None,1
adult malignant peripheral nerve sheath tumor,"['A18.2', 'H11.043', 'H11.053', 'H18.463', 'H35.40', 'H81.393', 'I73.9']",1
adult undifferentiated pleomorphic sarcoma,"['F20.3', 'F45.1']",1
malignant adult hemangiopericytoma,"['R18.0', 'C17.3', 'G21.0', 'J91.0', 'C05.2', 'C10.0', 'C16.0']",1
stage iv adult soft tissue sarcoma ajcc v7,None,1
"sclerosis, systemic","['M34.0', 'M34.89', 'M34.9', 'M34.82', 'M34.83', 'M34.81', 'M34.2']",1
metastatic intraocular melanoma,"['Z96.1', 'T85.22XS', 'T85.21XS', 'T85.22XA', 'T85.22XD', 'T85.21XA', 'T85.21XD']",1
stage iiia intraocular melanoma,"['Z96.1', 'T85.22XS', 'T85.21XS', 'T85.22XA', 'T85.22XD', 'T85.21XA', 'T85.21XD']",1
stage iiib intraocular melanoma,"['Z96.1', 'T85.22XS', 'T85.21XS', 'T85.22XA', 'T85.22XD', 'T85.21XA', 'T85.21XD']",1
stage iiic intraocular melanoma,"['Z96.1', 'T85.22XS', 'T85.21XS', 'T85.22XA', 'T85.22XD', 'T85.21XA', 'T85.21XD']",1
stage iv intraocular melanoma,"['Z96.1', 'T85.22XS', 'T85.21XS', 'T85.22XA', 'T85.22XD', 'T85.21XA', 'T85.21XD']",1
chronic depressive disorder,"['F25.1', 'F32.89', 'F33.8', 'F33.0', 'F33.1', 'F33.9', 'F32.0']",1
arteriosclerosis,None,1
"psoriasis, plaque-type psoriasis","['L40.0', 'L40.4', 'L40.8', 'L40.9', 'L40.1', 'L40.50']",1
dystrophic epidermolysis bullosa,['Q81.2'],1
growth hormone,None,1
amino acid,"['E70.81', 'E72.00', 'E72.09', 'E72.9', 'E70.89', 'E70.9', 'E72.89']",1
"cancer, metastatic","['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",1
"active, symptomatic blepharitis","['D72.820', 'D72.821', 'A52.10', 'A52.19', 'E28.310', 'A52.79', 'E89.41']",1
prevention of acute rejection in paediatric recipients of a renal transplant,"['N25.0', 'Q61.4', 'N23', 'N26.9', 'P96.0', 'Q60.0', 'Q60.1']",1
tree nut allergy,None,1
physical dependence,"['F10.20', 'F11.20', 'F12.20', 'F14.20', 'F16.20', 'F18.20', 'Z99.0']",1
glycemic control,None,1
macrophage infiltration,None,1
"neoplasm, prostate","['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",1
"neoplasm,prostatic",None,1
"major depressive disorder, recurrent","['F33.0', 'F33.1', 'F33.9', 'F33.40', 'F33.41', 'F33.42', 'F33.2']",1
children and adolescent with type 2 diabetes,"['E71.521', 'F91.2', 'M41.122', 'M41.123', 'M41.124', 'M41.125', 'M41.126']",1
parenteral nutrition associated cholestasis,"['K71.0', 'O26.641', 'O26.642', 'O26.643', 'O26.649']",1
obstructive sleep apnoea,"['G91.1', 'I42.1', 'N11.1', 'J05.0', 'P28.42', 'G47.33', 'J44.9']",1
airway complication of anaesthesia,"['B01.9', 'B05.9', 'B06.9', 'B26.9', 'J95.00', 'J95.09', 'K94.00']",1
inflammatory bowel disease (ibd),"['M06.4', 'G61.89', 'G61.9', 'M35.81', 'G61.81', 'K75.9', 'M27.2']",1
upper back pain,None,1
stage v chronic kidney disease,"['I12.9', 'N18.9', 'I12.0', 'D63.1', 'N18.1', 'N18.5', 'I13.0']",1
metastatic soft tissue sarcoma,None,1
"steroid-induced osteopor, glucocorticoid-induced ostepor","['M80.00XA', 'M80.00XD', 'M80.00XG', 'M80.00XK', 'M80.00XP', 'M80.00XS', 'M80.011A']",1
carcinoid tumor of the small bowel,"['C7A.00', 'C7A.010', 'C7A.011', 'C7A.012', 'C7A.020', 'C7A.021', 'C7A.026']",1
neuroendocrine tumour,"['C7A.8', 'C7B.8', 'D3A.8', 'C7A.1', 'J84.841']",1
primary cutaneous anaplastic large cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",1
"metastatic, gastric or gastro-oesophageal junction, cancer","['C19', 'D12.7', 'Z85.048']",1
cold contact urticaria,"['L50.0', 'L50.1', 'L50.3', 'L50.4', 'L50.5', 'L50.6', 'L50.8']",1
post-stroke cognitive impairment (psci),"['Z73.82', 'M10.38', 'M10.30', 'M10.311', 'M10.312', 'M10.319', 'M10.321']",1
primary bile acid malabsorption,"['K90.89', 'K90.9', 'K91.2', 'M83.2', 'K90.49', 'D51.1']",1
secondary bile acid malabsorption,"['K90.89', 'K90.9', 'K91.2', 'M83.2', 'K90.49', 'D51.1']",1
chronic diarrhoea,None,1
myocardial infarctions,"['I51.5', 'I25.2', 'I25.6', 'I21.9', 'I21.A1', 'I21.A9', 'P29.4']",1
endometritis,['O86.12'],1
primary dysmenorrhea,['N94.4'],1
pneumonia due to staphylococcus aureus,"['J15.211', 'J15.212']",1
bile acid synthesis defect,['Z79.624'],1
inborn error of bile acid metabolism,"['E70.5', 'E71.32', 'E72.4', 'E76.9', 'E78.89', 'E83.2', 'E88.40']",1
inborn error of bile acid conjugation,None,1
isolated systolic hypertension (ish),"['I15.0', 'I1A.0', 'I97.3', 'K76.6', 'P29.2', 'G93.2', 'H40.053']",1
atrial fibrillation new onset,"['I49.01', 'I48.0', 'I48.21', 'I48.91', 'I48.11', 'I48.19', 'I48.20']",1
prolonged qtc interval,"['O48.1', 'F43.81', 'P08.22', 'O63.0', 'O63.1', 'O62.4', 'X52.XXXS']",1
"medical care; complications, late effect of complications","['A36.89', 'B01.89', 'B02.9', 'B05.89', 'B06.89', 'B26.89', 'K94.30']",1
brca2 mutation,"['D68.52', 'J84.83']",1
breast diseases,"['S20.00XS', 'S20.111S', 'S20.112S', 'S20.119S', 'S20.00XA', 'S20.00XD', 'S20.111A']",1
hand eczema,None,1
foot eczema,None,1
asperger syndrome,['F84.5'],1
pervasive developmental disorder - not otherwise specified (pdd-nos),"['K09.0', 'Q50.1', 'F84.8', 'F84.9', 'G70.2', 'M27.0', 'F81.89']",1
chronic phase chronic myeloid leukemia,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",1
proliferative diabetic retinopathy (pdr),"['H36.823', 'H35.23', 'H36.821', 'H36.822', 'H36.829', 'H35.20', 'H35.21']",1
heart disease congenital complex,"['Q76.3', 'D70.0', 'D74.0', 'H55.01', 'P37.0', 'P37.1', 'P83.5']",1
acl reconstruction,['Z42.1'],1
"lung injury, acute",['J95.84'],1
blood stream infection,"['K94.02', 'K94.12', 'K94.22', 'K94.32', 'N99.511', 'A02.9', 'A31.0']",1
clear cell renal carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
castrate-resistant prostate cancer,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",1
tendinosis,None,1
tendinitis,"['M65.20', 'M65.231', 'M65.232', 'M65.239', 'M65.241', 'M65.242', 'M65.249']",1
metastatic head and neck squamous cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
advanced colorectal adenomas,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",1
stage ii colon cancer,"['C18.2', 'C18.4', 'C18.6', 'C18.7', 'C18.9', 'D12.2', 'D12.3']",1
fontan,None,1
locally advanced breast cancer and large operable breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
carcinoma of esophagus,['D00.1'],1
multiple,"['G35', 'M15.3', 'M67.49', 'M89.09', 'M89.59', 'M94.29', 'Q78.6']",1
patients at risk for melanoma,"['C43.0', 'C43.31', 'D03.9', 'C43.51', 'C43.9', 'D03.0', 'C43.4']",1
squamous cell carcinoma of the esophagus,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",1
newly diagnosed hormone positive clinical stage 1 or 2 breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
advanced braf-mutant cancers,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",1
exudative macular degeneration,"['H35.3230', 'H35.3210', 'H35.3220', 'H35.3233', 'H35.3290', 'H35.3213', 'H35.3223']",1
pediatric hypertension with or without ckd,"['I15.0', 'I1A.0', 'I97.3', 'K76.6', 'P29.2', 'G93.2', 'H40.053']",1
partial-onset seizures,"['G40.011', 'G40.019', 'G40.001', 'G40.009']",1
advanced metastatic (stage iv) colorectal cancer,"['K74.02', 'G47.22', 'H35.3133', 'H35.3134', 'H35.3113', 'H35.3114', 'H35.3123']",1
non-functioning pituitary adenomas,"['E22.0', 'E24.0', 'C75.1', 'D35.2', 'E22.8', 'E22.9', 'E23.6']",1
prolactinomas,None,1
complex regional pain syndrome i (crps i),"['G90.50', 'G90.511', 'G90.512', 'G90.513', 'G90.519', 'G90.521', 'G90.522']",1
cardiac complication during procedure,"['B01.9', 'B05.9', 'B06.9', 'B26.9', 'J95.00', 'J95.09', 'K94.00']",1
advanced or metastatic breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
er+ve advanced or metastatic breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",1
cardiovascular disease (cvd),"['Q93.81', 'B33.4', 'A36.81', 'A50.54', 'A52.00', 'A52.09', 'B33.24']",1
prostate hypertrophy,"['J35.3', 'J35.1', 'J35.2', 'N28.81', 'N62', 'N85.2', 'J34.3']",1
renal disease,"['N18.6', 'N15.9', 'O26.831', 'O26.832', 'O26.833', 'O26.839', 'I12.0']",1
postmenopausal women with osteoporosis,"['N95.0', 'N95.2']",1
carpal tunnel syndrome,"['G56.00', 'G56.01', 'G56.02', 'G56.03']",1
pf subclinical parasitemia,['E02'],1
induction of labor in multiparous women,"['O61.0', 'O61.1', 'O61.8', 'O61.9']",1
salivary gland malignancy,"['Z19.1', 'Z19.2', 'R85.614', 'R87.614', 'R87.624']",1
moderate depression,"['F32.A', 'F53.0', 'P91.4', 'Z13.31', 'Z13.32']",1
menopausal and postmenopausal disorders,"['N95.0', 'N95.2']",1
non ptsd,None,1
